,"U1","I1","U2","I2","U3","I3",
"$WaveData"
,-3.75E+00,2.167E+00,-3.47E+00,11.625E+00,-1.00E+00,-25.782E+00,
,518.53E+00,14.485E+00,518.88E+00,20.372E+00,0.95E+00,-14.740E+00,
,514.68E+00,2.826E+00,514.19E+00,11.802E+00,-0.22E+00,-23.731E+00,
,516.90E+00,10.612E+00,516.63E+00,18.906E+00,0.79E+00,-15.852E+00,
,-4.82E+00,2.807E+00,-2.52E+00,12.255E+00,-519.58E+00,-25.741E+00,
,515.40E+00,9.155E+00,516.27E+00,18.908E+00,0.82E+00,-16.361E+00,
,-2.41E+00,-2.419E+00,-2.49E+00,12.858E+00,-518.66E+00,-24.841E+00,
,5.47E+00,10.038E+00,516.89E+00,21.839E+00,0.85E+00,-13.193E+00,
,-2.02E+00,0.828E+00,507.58E+00,13.395E+00,-516.22E+00,-22.662E+00,
,516.28E+00,6.394E+00,515.72E+00,20.867E+00,0.88E+00,-13.830E+00,
,-5.70E+00,-1.600E+00,-5.55E+00,14.715E+00,-0.13E+00,-22.787E+00,
,513.64E+00,7.005E+00,513.73E+00,22.467E+00,1.21E+00,-12.535E+00,
,-2.15E+00,0.799E+00,-2.23E+00,12.502E+00,-0.68E+00,-23.065E+00,
,516.57E+00,5.627E+00,515.72E+00,20.501E+00,0.92E+00,-15.056E+00,
,-2.35E+00,-0.060E+00,512.10E+00,13.555E+00,-514.95E+00,-22.483E+00,
,513.61E+00,5.774E+00,513.34E+00,20.168E+00,0.75E+00,-14.948E+00,
,-2.93E+00,-0.663E+00,-2.62E+00,14.799E+00,-516.48E+00,-24.739E+00,
,0.19E+00,8.529E+00,516.40E+00,25.522E+00,2.12E+00,-11.813E+00,
,-0.95E+00,-3.704E+00,512.69E+00,17.055E+00,-514.01E+00,-22.099E+00,
,515.30E+00,3.244E+00,514.15E+00,22.350E+00,2.06E+00,-15.077E+00,
,-4.04E+00,-4.945E+00,-4.67E+00,15.414E+00,0.49E+00,-20.600E+00,
,515.79E+00,0.581E+00,513.96E+00,23.548E+00,2.48E+00,-12.395E+00,
,-1.11E+00,-6.592E+00,-2.59E+00,12.623E+00,0.66E+00,-21.569E+00,
,517.49E+00,1.026E+00,515.42E+00,23.619E+00,2.64E+00,-12.019E+00,
,-0.82E+00,-6.897E+00,507.71E+00,16.217E+00,-515.28E+00,-20.585E+00,
,516.90E+00,0.369E+00,518.13E+00,22.296E+00,2.28E+00,-14.786E+00,
,-0.82E+00,-5.845E+00,-2.56E+00,15.872E+00,-515.54E+00,-22.097E+00,
,0.39E+00,0.354E+00,515.29E+00,21.581E+00,2.51E+00,-13.258E+00,
,-1.24E+00,-7.417E+00,-2.20E+00,16.290E+00,-518.37E+00,-18.848E+00,
,7.13E+00,0.828E+00,518.13E+00,24.994E+00,2.61E+00,-3.045E+00,
,-0.69E+00,-7.845E+00,515.39E+00,18.833E+00,-516.71E+00,-17.322E+00,
,519.54E+00,-2.319E+00,517.83E+00,24.707E+00,2.48E+00,-12.401E+00,
,-0.85E+00,-9.931E+00,-2.49E+00,16.989E+00,1.14E+00,-19.423E+00,
,522.73E+00,0.672E+00,520.41E+00,26.545E+00,2.64E+00,-9.533E+00,
,-0.59E+00,-7.538E+00,517.15E+00,15.474E+00,-519.09E+00,-19.779E+00,
,521.10E+00,-0.193E+00,520.15E+00,25.684E+00,2.74E+00,-10.747E+00,
,-1.11E+00,-8.475E+00,-2.04E+00,16.978E+00,-519.80E+00,-18.293E+00,
,0.42E+00,-0.860E+00,519.56E+00,23.818E+00,2.12E+00,-10.863E+00,
,-0.69E+00,-10.754E+00,-2.36E+00,18.785E+00,-523.00E+00,-17.469E+00,
,1.01E+00,-2.631E+00,523.50E+00,25.256E+00,2.77E+00,-7.820E+00,
,-0.56E+00,-9.943E+00,520.11E+00,19.037E+00,-521.40E+00,-15.921E+00,
,0.62E+00,-4.174E+00,521.38E+00,24.168E+00,-519.74E+00,-9.213E+00,
,-3.91E+00,-11.983E+00,-5.81E+00,18.781E+00,-521.46E+00,-15.393E+00,
,524.69E+00,-4.191E+00,524.41E+00,26.921E+00,2.81E+00,-7.541E+00,
,-0.43E+00,-21.962E+00,-2.13E+00,13.391E+00,-523.71E+00,-16.312E+00,
,528.08E+00,-3.309E+00,526.07E+00,29.126E+00,2.90E+00,-6.013E+00,
,-0.43E+00,-13.342E+00,522.56E+00,17.411E+00,-523.81E+00,-14.755E+00,
,0.49E+00,-6.024E+00,523.83E+00,23.700E+00,-522.41E+00,-7.535E+00,
,-2.12E+00,-15.174E+00,-5.19E+00,17.070E+00,-526.87E+00,-15.420E+00,
,0.94E+00,-6.216E+00,527.34E+00,26.657E+00,3.91E+00,-3.353E+00,
,-0.56E+00,-13.024E+00,522.82E+00,19.495E+00,-525.50E+00,-14.603E+00,
,0.49E+00,-7.407E+00,526.33E+00,27.772E+00,-522.41E+00,-7.354E+00,
,-531.53E+00,-15.731E+00,-4.54E+00,19.407E+00,-527.03E+00,-11.718E+00,
,0.55E+00,-7.725E+00,525.10E+00,26.156E+00,2.45E+00,-4.392E+00,
,-529.03E+00,-15.914E+00,-3.21E+00,18.908E+00,-527.91E+00,-14.911E+00,
,0.52E+00,-6.286E+00,527.64E+00,27.019E+00,2.64E+00,-1.837E+00,
,-0.52E+00,-14.436E+00,524.77E+00,17.760E+00,-525.67E+00,-11.470E+00,
,0.62E+00,-9.292E+00,526.11E+00,24.334E+00,-524.49E+00,-5.860E+00,
,-0.78E+00,-18.135E+00,-3.53E+00,20.212E+00,-525.73E+00,-9.460E+00,
,0.88E+00,-11.586E+00,525.81E+00,25.499E+00,2.87E+00,-3.319E+00,
,-0.36E+00,-18.573E+00,-2.20E+00,17.286E+00,-528.43E+00,-10.169E+00,
,0.75E+00,-8.426E+00,528.97E+00,26.225E+00,2.68E+00,-1.775E+00,
,-527.59E+00,-20.704E+00,-2.36E+00,17.831E+00,-526.09E+00,-9.870E+00,
,0.75E+00,-11.800E+00,525.33E+00,26.377E+00,-523.91E+00,-0.382E+00,
,-528.24E+00,-20.166E+00,-4.51E+00,12.916E+00,-526.19E+00,-10.477E+00,
,0.72E+00,-10.952E+00,-0.99E+00,24.282E+00,2.77E+00,-0.524E+00,
,-526.55E+00,-27.043E+00,-2.20E+00,12.885E+00,-535.67E+00,-8.367E+00,
,0.78E+00,-8.126E+00,524.58E+00,24.170E+00,-522.25E+00,-0.193E+00,
,-0.36E+00,-20.459E+00,-2.23E+00,15.680E+00,-523.35E+00,-9.225E+00,
,0.91E+00,-10.492E+00,523.40E+00,23.392E+00,2.48E+00,-0.087E+00,
,-0.23E+00,-23.868E+00,-2.23E+00,18.268E+00,-525.41E+00,-8.346E+00,
,0.98E+00,-12.881E+00,526.82E+00,27.186E+00,2.71E+00,5.174E+00,
,-524.07E+00,-21.505E+00,-2.26E+00,14.628E+00,-522.15E+00,-8.030E+00,
,1.14E+00,-11.484E+00,522.92E+00,24.619E+00,-520.94E+00,2.114E+00,
,-523.49E+00,-22.363E+00,-3.31E+00,16.776E+00,-521.60E+00,-8.148E+00,
,3.68E+00,-14.172E+00,-0.37E+00,25.800E+00,5.05E+00,2.798E+00,
,-524.85E+00,-25.041E+00,-3.76E+00,11.535E+00,-524.79E+00,-5.163E+00,
,3.00E+00,-10.255E+00,523.31E+00,22.371E+00,2.55E+00,2.717E+00,
,0.91E+00,-24.218E+00,520.73E+00,15.300E+00,-520.52E+00,-5.955E+00,
